Area,Year,Ethnicity,Projection,Age,Sex,Value,Flags
"Albert-Eden local board area","2028","Maori","Medium","Total people, all ages","Total people",9850,
"Albert-Eden local board area","2033","Maori","Medium","Total people, all ages","Total people",10650,
"Albert-Eden local board area","2038","Maori","Medium","Total people, all ages","Total people",11400,
"Albert-Eden local board area","2013","Total population","Medium","Total people, all ages","Total people",100000,
"Albert-Eden local board area","2018","Total population","Medium","Total people, all ages","Total people",110200,
"Albert-Eden local board area","2023","Total population","Medium","Total people, all ages","Total people",117800,
"Albert-Eden local board area","2028","Total population","Medium","Total people, all ages","Total people",123600,
"Albert-Eden local board area","2033","Total population","Medium","Total people, all ages","Total people",129000,
"Albert-Eden local board area","2038","Total population","Medium","Total people, all ages","Total people",133900,
"Puketapapa local board area","2013","Maori","Medium","Total people, all ages","Total people",3540,
"Puketapapa local board area","2018","Maori","Medium","Total people, all ages","Total people",4140,
"Puketapapa local board area","2023","Maori","Medium","Total people, all ages","Total people",4740,
"Puketapapa local board area","2028","Maori","Medium","Total people, all ages","Total people",5350,
"Puketapapa local board area","2033","Maori","Medium","Total people, all ages","Total people",5970,
"Puketapapa local board area","2038","Maori","Medium","Total people, all ages","Total people",6590,
"Puketapapa local board area","2013","Total population","Medium","Total people, all ages","Total people",56300,
"Puketapapa local board area","2018","Total population","Medium","Total people, all ages","Total people",63700,
"Puketapapa local board area","2023","Total population","Medium","Total people, all ages","Total people",68900,
"Puketapapa local board area","2028","Total population","Medium","Total people, all ages","Total people",73200,
"Puketapapa local board area","2033","Total population","Medium","Total people, all ages","Total people",77100,
"Puketapapa local board area","2038","Total population","Medium","Total people, all ages","Total people",80500,
"Orakei local board area","2013","Maori","Medium","Total people, all ages","Total people",4530,
"Orakei local board area","2018","Maori","Medium","Total people, all ages","Total people",5410,
"Orakei local board area","2023","Maori","Medium","Total people, all ages","Total people",6290,
"Orakei local board area","2028","Maori","Medium","Total people, all ages","Total people",7150,
"Orakei local board area","2033","Maori","Medium","Total people, all ages","Total people",8040,
"Orakei local board area","2038","Maori","Medium","Total people, all ages","Total people",8950,
"Orakei local board area","2013","Total population","Medium","Total people, all ages","Total people",83700,
"Orakei local board area","2018","Total population","Medium","Total people, all ages","Total people",93100,
"Orakei local board area","2023","Total population","Medium","Total people, all ages","Total people",100100,
"Orakei local board area","2028","Total population","Medium","Total people, all ages","Total people",105800,
"Orakei local board area","2033","Total population","Medium","Total people, all ages","Total people",111100,
"Orakei local board area","2038","Total population","Medium","Total people, all ages","Total people",115800,
"Maungakiekie-Tamaki local board area","2013","Maori","Medium","Total people, all ages","Total people",10200,
"Maungakiekie-Tamaki local board area","2018","Maori","Medium","Total people, all ages","Total people",11000,
"Maungakiekie-Tamaki local board area","2023","Maori","Medium","Total people, all ages","Total people",11500,
"Maungakiekie-Tamaki local board area","2028","Maori","Medium","Total people, all ages","Total people",12050,
"Maungakiekie-Tamaki local board area","2033","Maori","Medium","Total people, all ages","Total people",12600,
"Maungakiekie-Tamaki local board area","2038","Maori","Medium","Total people, all ages","Total people",13100,
"Maungakiekie-Tamaki local board area","2013","Total population","Medium","Total people, all ages","Total people",73700,
"Maungakiekie-Tamaki local board area","2018","Total population","Medium","Total people, all ages","Total people",82700,
"Maungakiekie-Tamaki local board area","2023","Total population","Medium","Total people, all ages","Total people",91700,
